[2025-04-20 03:51:32] Normal (IoU: 0.07, People: 3)
[2025-04-20 03:51:33] Normal (IoU: 0.07, People: 3)
[2025-04-20 03:51:33] Normal (IoU: 0.07, People: 3)
[2025-04-20 03:51:33] Normal (IoU: 0.08, People: 3)
[2025-04-20 03:51:33] Normal (IoU: 0.08, People: 3)
[2025-04-20 03:51:33] Normal (IoU: 0.07, People: 3)
[2025-04-20 03:51:33] Normal (IoU: 0.07, People: 3)
[2025-04-20 03:51:34] Normal (IoU: 0.09, People: 3)
[2025-04-20 03:51:34] Normal (IoU: 0.09, People: 3)
[2025-04-20 03:51:34] Normal (IoU: 0.10, People: 3)
[2025-04-20 03:51:34] Normal (IoU: 0.10, People: 3)
[2025-04-20 03:51:34] Normal (IoU: 0.09, People: 4)
[2025-04-20 03:51:34] Normal (IoU: 0.11, People: 3)
[2025-04-20 03:51:34] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:34] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:34] Normal (IoU: 0.09, People: 4)
[2025-04-20 03:51:34] Normal (IoU: 0.09, People: 4)
[2025-04-20 03:51:34] Normal (IoU: 0.09, People: 4)
[2025-04-20 03:51:34] Normal (IoU: 0.09, People: 4)
[2025-04-20 03:51:34] Normal (IoU: 0.09, People: 3)
[2025-04-20 03:51:34] Normal (IoU: 0.09, People: 3)
[2025-04-20 03:51:35] Normal (IoU: 0.10, People: 3)
[2025-04-20 03:51:35] Normal (IoU: 0.09, People: 4)
[2025-04-20 03:51:35] Normal (IoU: 0.09, People: 4)
[2025-04-20 03:51:35] Normal (IoU: 0.09, People: 4)
[2025-04-20 03:51:35] Normal (IoU: 0.09, People: 4)
[2025-04-20 03:51:35] Normal (IoU: 0.09, People: 4)
[2025-04-20 03:51:35] Normal (IoU: 0.09, People: 4)
[2025-04-20 03:51:35] Normal (IoU: 0.09, People: 4)
[2025-04-20 03:51:35] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:35] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:35] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.13, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.13, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:36] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:37] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:37] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:37] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:37] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:37] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:37] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:37] Normal (IoU: 0.12, People: 3)
[2025-04-20 03:51:37] Normal (IoU: 0.11, People: 3)
[2025-04-20 03:51:37] Normal (IoU: 0.11, People: 3)
[2025-04-20 03:51:37] Normal (IoU: 0.12, People: 4)
[2025-04-20 03:51:37] Normal (IoU: 0.12, People: 4)
[2025-04-20 03:51:37] Normal (IoU: 0.13, People: 4)
[2025-04-20 03:51:37] Normal (IoU: 0.13, People: 4)
[2025-04-20 03:51:37] Normal (IoU: 0.14, People: 5)
[2025-04-20 03:51:37] Normal (IoU: 0.14, People: 5)
[2025-04-20 03:51:38] Normal (IoU: 0.14, People: 4)
[2025-04-20 03:51:38] Normal (IoU: 0.14, People: 4)
[2025-04-20 03:51:38] Normal (IoU: 0.15, People: 4)
[2025-04-20 03:51:38] Normal (IoU: 0.15, People: 4)
[2025-04-20 03:51:38] Normal (IoU: 0.09, People: 5)
[2025-04-20 03:51:38] Normal (IoU: 0.09, People: 5)
[2025-04-20 03:51:38] Normal (IoU: 0.09, People: 5)
[2025-04-20 03:51:38] Normal (IoU: 0.09, People: 5)
[2025-04-20 03:51:38] Normal (IoU: 0.09, People: 5)
[2025-04-20 03:51:38] Normal (IoU: 0.09, People: 5)
[2025-04-20 03:51:38] Normal (IoU: 0.04, People: 4)
[2025-04-20 03:51:38] Normal (IoU: 0.03, People: 5)
[2025-04-20 03:51:38] Normal (IoU: 0.06, People: 5)
[2025-04-20 03:51:39] Normal (IoU: 0.06, People: 5)
[2025-04-20 03:51:39] Normal (IoU: 0.08, People: 3)
[2025-04-20 03:51:39] Normal (IoU: 0.03, People: 6)
[2025-04-20 03:51:39] Normal (IoU: 0.04, People: 5)
[2025-04-20 03:51:39] Normal (IoU: 0.08, People: 3)
[2025-04-20 03:51:39] Normal (IoU: 0.07, People: 4)
[2025-04-20 03:51:39] Normal (IoU: 0.03, People: 4)
[2025-04-20 03:51:39] Normal (IoU: 0.07, People: 4)
[2025-04-20 03:51:39] Normal (IoU: 0.08, People: 3)
[2025-04-20 03:51:39] Normal (IoU: 0.03, People: 4)
[2025-04-20 03:51:39] Normal (IoU: 0.07, People: 3)
[2025-04-20 03:51:39] Normal (IoU: 0.08, People: 3)
[2025-04-20 03:51:40] Normal (IoU: 0.08, People: 3)
[2025-04-20 03:51:40] Normal (IoU: 0.07, People: 3)
[2025-04-20 03:51:40] Normal (IoU: 0.08, People: 3)
[2025-04-20 03:51:40] Normal (IoU: 0.04, People: 4)
[2025-04-20 03:51:40] Normal (IoU: 0.08, People: 3)
[2025-04-20 03:51:40] Normal (IoU: 0.04, People: 4)
[2025-04-20 03:51:40] Normal (IoU: 0.04, People: 4)
[2025-04-20 03:51:40] Normal (IoU: 0.08, People: 3)
[2025-04-20 03:51:40] Normal (IoU: 0.04, People: 4)
[2025-04-20 03:51:40] Normal (IoU: 0.08, People: 3)
[2025-04-20 03:51:40] Normal (IoU: 0.03, People: 5)
[2025-04-20 03:51:40] Normal (IoU: 0.09, People: 3)
[2025-04-20 03:51:40] Normal (IoU: 0.03, People: 5)
[2025-04-20 03:51:41] Normal (IoU: 0.09, People: 3)
[2025-04-20 03:51:41] Normal (IoU: 0.10, People: 3)
[2025-04-20 03:51:41] Normal (IoU: 0.10, People: 3)
[2025-04-20 03:51:41] Moderately Crowded - ALERT: Moderate crowding detected. (IoU: 0.26, People: 2)
[2025-04-20 03:51:41] Moderately Crowded - ALERT: Moderate crowding detected. (IoU: 0.28, People: 2)
[2025-04-20 03:51:41] Moderately Crowded - ALERT: Moderate crowding detected. (IoU: 0.28, People: 2)
[2025-04-20 03:51:41] Moderately Crowded - ALERT: Moderate crowding detected. (IoU: 0.28, People: 2)
[2025-04-20 03:51:41] Normal (IoU: 0.10, People: 3)
[2025-04-20 03:51:41] Moderately Crowded - ALERT: Moderate crowding detected. (IoU: 0.28, People: 2)
[2025-04-20 03:51:41] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:41] Normal (IoU: 0.10, People: 3)
[2025-04-20 03:51:41] Normal (IoU: 0.01, People: 3)
[2025-04-20 03:51:41] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:41] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:42] Normal (IoU: 0.01, People: 3)
[2025-04-20 03:51:42] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:42] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:42] Normal (IoU: 0.05, People: 3)
[2025-04-20 03:51:42] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:42] Normal (IoU: 0.03, People: 4)
[2025-04-20 03:51:42] Normal (IoU: 0.05, People: 3)
[2025-04-20 03:51:42] Normal (IoU: 0.03, People: 4)
[2025-04-20 03:51:42] Normal (IoU: 0.03, People: 4)
[2025-04-20 03:51:42] Normal (IoU: 0.04, People: 4)
[2025-04-20 03:51:42] Normal (IoU: 0.03, People: 4)
[2025-04-20 03:51:42] Normal (IoU: 0.02, People: 5)
[2025-04-20 03:51:42] Normal (IoU: 0.04, People: 4)
[2025-04-20 03:51:42] Normal (IoU: 0.02, People: 6)
[2025-04-20 03:51:43] Normal (IoU: 0.02, People: 5)
[2025-04-20 03:51:43] Normal (IoU: 0.01, People: 4)
[2025-04-20 03:51:43] Normal (IoU: 0.02, People: 6)
[2025-04-20 03:51:43] Normal (IoU: 0.01, People: 4)
[2025-04-20 03:51:43] Normal (IoU: 0.01, People: 4)
[2025-04-20 03:51:43] Normal (IoU: 0.04, People: 4)
[2025-04-20 03:51:43] Normal (IoU: 0.01, People: 4)
[2025-04-20 03:51:43] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:43] Normal (IoU: 0.04, People: 4)
[2025-04-20 03:51:43] Normal (IoU: 0.07, People: 3)
[2025-04-20 03:51:43] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:43] Normal (IoU: 0.04, People: 4)
[2025-04-20 03:51:43] Normal (IoU: 0.07, People: 3)
[2025-04-20 03:51:43] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:44] Normal (IoU: 0.04, People: 4)
[2025-04-20 03:51:44] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:44] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:44] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:44] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:44] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:44] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:44] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:44] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:44] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:44] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:44] Normal (IoU: 0.00, People: 1)
[2025-04-20 03:51:44] Normal (IoU: 0.00, People: 2)
[2025-04-20 03:51:44] Normal (IoU: 0.00, People: 3)
[2025-04-20 03:51:45] Normal (IoU: 0.00, People: 1)
[2025-04-20 03:51:45] Normal (IoU: 0.01, People: 3)
[2025-04-20 03:51:45] Normal (IoU: 0.00, People: 3)
