[2025-04-19 22:36:32] Normal (IoU: 0.07, People: 3)
[2025-04-19 22:36:35] Normal (IoU: 0.07, People: 3)
[2025-04-19 22:36:35] Normal (IoU: 0.08, People: 3)
[2025-04-19 22:36:35] Normal (IoU: 0.07, People: 3)
[2025-04-19 22:36:35] Normal (IoU: 0.09, People: 3)
[2025-04-19 22:36:36] Normal (IoU: 0.10, People: 3)
[2025-04-19 22:36:36] Normal (IoU: 0.09, People: 4)
[2025-04-19 22:36:36] Normal (IoU: 0.11, People: 3)
[2025-04-19 22:36:36] Normal (IoU: 0.12, People: 3)
[2025-04-19 22:36:36] Normal (IoU: 0.09, People: 4)
[2025-04-19 22:36:37] Normal (IoU: 0.09, People: 4)
[2025-04-19 22:36:37] Normal (IoU: 0.09, People: 3)
[2025-04-19 22:36:37] Normal (IoU: 0.10, People: 3)
[2025-04-19 22:36:37] Normal (IoU: 0.09, People: 4)
[2025-04-19 22:36:38] Normal (IoU: 0.09, People: 4)
[2025-04-19 22:36:38] Normal (IoU: 0.09, People: 4)
[2025-04-19 22:36:38] Normal (IoU: 0.09, People: 4)
[2025-04-19 22:36:38] Normal (IoU: 0.12, People: 3)
[2025-04-19 22:36:38] Normal (IoU: 0.12, People: 3)
[2025-04-19 22:36:38] Normal (IoU: 0.12, People: 3)
[2025-04-19 22:36:39] Normal (IoU: 0.13, People: 3)
[2025-04-19 22:36:39] Normal (IoU: 0.12, People: 3)
[2025-04-19 22:36:39] Normal (IoU: 0.12, People: 3)
[2025-04-19 22:36:39] Normal (IoU: 0.12, People: 3)
[2025-04-19 22:36:39] Normal (IoU: 0.12, People: 3)
[2025-04-19 22:36:39] Normal (IoU: 0.12, People: 3)
[2025-04-19 22:36:40] Normal (IoU: 0.12, People: 3)
[2025-04-19 22:36:40] Normal (IoU: 0.12, People: 3)
[2025-04-19 22:36:40] Normal (IoU: 0.12, People: 3)
[2025-04-19 22:36:41] Normal (IoU: 0.12, People: 3)
[2025-04-19 22:36:41] Normal (IoU: 0.11, People: 3)
[2025-04-19 22:36:42] Normal (IoU: 0.12, People: 4)
[2025-04-19 22:36:42] Normal (IoU: 0.13, People: 4)
[2025-04-19 22:36:42] Normal (IoU: 0.14, People: 5)
[2025-04-19 22:36:43] Normal (IoU: 0.14, People: 4)
[2025-04-19 22:36:43] Normal (IoU: 0.15, People: 4)
[2025-04-19 22:36:43] Normal (IoU: 0.09, People: 5)
[2025-04-19 22:36:44] Normal (IoU: 0.09, People: 5)
[2025-04-19 22:36:44] Normal (IoU: 0.09, People: 5)
[2025-04-19 22:36:45] Normal (IoU: 0.04, People: 4)
[2025-04-19 22:36:45] Normal (IoU: 0.03, People: 5)
[2025-04-19 22:36:45] Normal (IoU: 0.06, People: 5)
[2025-04-19 22:36:46] Normal (IoU: 0.03, People: 6)
[2025-04-19 22:36:46] Normal (IoU: 0.08, People: 3)
[2025-04-19 22:36:46] Normal (IoU: 0.04, People: 5)
[2025-04-19 22:36:47] Normal (IoU: 0.07, People: 4)
[2025-04-19 22:36:47] Normal (IoU: 0.03, People: 4)
[2025-04-19 22:36:48] Normal (IoU: 0.08, People: 3)
[2025-04-19 22:36:48] Normal (IoU: 0.07, People: 3)
[2025-04-19 22:36:48] Normal (IoU: 0.08, People: 3)
[2025-04-19 22:36:49] Normal (IoU: 0.08, People: 3)
[2025-04-19 22:36:49] Normal (IoU: 0.04, People: 4)
[2025-04-19 22:36:49] Normal (IoU: 0.04, People: 4)
[2025-04-19 22:36:50] Normal (IoU: 0.08, People: 3)
[2025-04-19 22:36:50] Normal (IoU: 0.03, People: 5)
[2025-04-19 22:36:50] Normal (IoU: 0.09, People: 3)
[2025-04-19 22:36:51] Normal (IoU: 0.10, People: 3)
